epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,366.981,2.00889,0.77171,0.7709,0.94313,0.86139,0.90735,0.43515,1.95987,0.70738,0.81958,0.00101,0.00101,0.00101
77,382.506,1.99803,0.78034,0.79284,0.95771,0.89694,0.92422,0.42173,2.0098,0.71039,0.82748,0.0009968,0.0009968,0.0009968
78,398.119,1.981,0.80919,0.7697,0.93858,0.90787,0.93679,0.45989,1.91815,0.69571,0.82082,0.0009836,0.0009836,0.0009836
79,413.836,1.96791,0.78218,0.78305,0.95521,0.89109,0.94188,0.39464,2.03883,0.71524,0.82238,0.0009704,0.0009704,0.0009704
80,429.188,1.97313,0.77499,0.78026,0.90708,0.86993,0.89716,0.40534,1.97039,0.67599,0.82071,0.0009572,0.0009572,0.0009572
81,444.633,1.94535,0.7485,0.78454,0.93505,0.85532,0.92747,0.42341,1.9143,0.69503,0.81726,0.000944,0.000944,0.000944
82,460.464,2.03657,0.74981,0.78265,0.94841,0.91009,0.93604,0.37703,2.12053,0.74986,0.82638,0.0009308,0.0009308,0.0009308
83,476.269,1.92643,0.77538,0.7818,0.88285,0.89542,0.93075,0.44683,1.89571,0.68868,0.81653,0.0009176,0.0009176,0.0009176
84,491.723,1.95754,0.822,0.76905,0.8764,0.90099,0.89923,0.44708,1.89284,0.73786,0.80761,0.0009044,0.0009044,0.0009044
85,507.048,1.94967,0.74907,0.75562,0.93053,0.9284,0.94032,0.41806,1.96029,0.70539,0.81929,0.0008912,0.0008912,0.0008912
86,522.463,1.98377,0.74509,0.7838,0.93331,0.86139,0.91927,0.39712,2.03996,0.72095,0.82401,0.000878,0.000878,0.000878
87,538.038,1.95821,0.72924,0.79743,0.95209,0.90099,0.94438,0.42623,1.96767,0.67806,0.81566,0.0008648,0.0008648,0.0008648
88,553.676,1.93612,0.73327,0.76299,0.94237,0.90099,0.91773,0.42411,1.95533,0.70064,0.81412,0.0008516,0.0008516,0.0008516
89,569.469,1.87388,0.72387,0.78462,0.93908,0.91575,0.9459,0.41615,1.92077,0.68765,0.81441,0.0008384,0.0008384,0.0008384
90,585.19,1.93473,0.75003,0.78041,0.97584,0.87129,0.948,0.45806,1.82188,0.67497,0.80863,0.0008252,0.0008252,0.0008252
91,601.585,1.90159,0.72886,0.78391,0.91834,0.89077,0.92685,0.44409,1.90928,0.7152,0.81459,0.000812,0.000812,0.000812
92,617.13,1.90393,0.74514,0.78348,0.89973,0.89109,0.91499,0.46061,1.86249,0.72658,0.81441,0.0007988,0.0007988,0.0007988
93,632.73,1.8995,0.7104,0.8051,0.93585,0.86673,0.90874,0.43611,1.93992,0.71548,0.81935,0.0007856,0.0007856,0.0007856
94,648.449,1.8775,0.70431,0.79339,0.93215,0.85149,0.89954,0.38357,2.00289,0.72405,0.81534,0.0007724,0.0007724,0.0007724
95,664.371,1.93386,0.72424,0.77746,0.94493,0.84939,0.919,0.40015,2.02827,0.70586,0.82073,0.0007592,0.0007592,0.0007592
96,679.915,1.91295,0.73468,0.77941,0.93645,0.88119,0.91214,0.42021,1.92721,0.68334,0.81909,0.000746,0.000746,0.000746
97,695.729,1.82088,0.71173,0.76852,0.93598,0.86139,0.88888,0.42858,1.91137,0.67429,0.81771,0.0007328,0.0007328,0.0007328
98,711.176,1.83608,0.68585,0.79172,0.94283,0.88119,0.92573,0.47219,1.7958,0.62731,0.81182,0.0007196,0.0007196,0.0007196
99,726.646,1.91009,0.72094,0.77597,0.94659,0.88119,0.92754,0.43054,1.9508,0.65319,0.81637,0.0007064,0.0007064,0.0007064
100,742.218,1.82903,0.67371,0.76469,0.96589,0.84105,0.94003,0.45672,1.85621,0.67172,0.81421,0.0006932,0.0006932,0.0006932
101,757.62,1.91699,0.69904,0.76445,0.9379,0.89727,0.93725,0.45924,1.86456,0.67238,0.81573,0.00068,0.00068,0.00068
102,773.131,1.87337,0.68474,0.76756,0.92732,0.83168,0.89923,0.43484,1.902,0.71804,0.8187,0.0006668,0.0006668,0.0006668
103,788.627,1.88257,0.67118,0.78562,0.92841,0.89109,0.93327,0.43936,1.92918,0.68005,0.81563,0.0006536,0.0006536,0.0006536
104,804.754,1.89069,0.71377,0.75288,0.96413,0.91089,0.94883,0.39244,2.06313,0.69098,0.82107,0.0006404,0.0006404,0.0006404
105,820.279,1.844,0.69346,0.77051,0.96787,0.89486,0.94712,0.47862,1.83223,0.64178,0.81548,0.0006272,0.0006272,0.0006272
106,835.831,1.83822,0.67336,0.77479,0.94842,0.91034,0.95373,0.47188,1.84867,0.6558,0.81537,0.000614,0.000614,0.000614
107,851.335,1.8892,0.71461,0.78055,0.92845,0.89938,0.93832,0.46218,1.88914,0.65224,0.81513,0.0006008,0.0006008,0.0006008
108,866.813,1.82834,0.68795,0.77621,0.94574,0.90099,0.94148,0.46459,1.88509,0.65982,0.8171,0.0005876,0.0005876,0.0005876
109,882.601,1.81889,0.6757,0.7669,0.93568,0.88119,0.9114,0.44821,1.8835,0.72371,0.82147,0.0005744,0.0005744,0.0005744
110,898.153,1.78109,0.69271,0.77104,0.92764,0.88847,0.92023,0.47019,1.85925,0.69794,0.81884,0.0005612,0.0005612,0.0005612
111,913.722,1.86164,0.66508,0.76915,0.95738,0.88974,0.92976,0.42268,1.96339,0.72758,0.82141,0.000548,0.000548,0.000548
112,929.335,1.87087,0.70918,0.79188,0.92536,0.87129,0.90044,0.44722,1.94105,0.71415,0.82362,0.0005348,0.0005348,0.0005348
113,944.94,1.85197,0.71351,0.7767,0.94889,0.91904,0.93231,0.48828,1.82697,0.67071,0.81859,0.0005216,0.0005216,0.0005216
114,960.543,1.82278,0.70263,0.77385,0.94329,0.86139,0.91196,0.40237,2.08852,0.71279,0.82187,0.0005084,0.0005084,0.0005084
